year,rawsilkwild,cotton,wool,silkc,other kinds,total,cottonraw
1867,512,,,,,,458
1868,688,587953,1557,102855,,,588
1869,593,1039080,13533,94333,,,1039
1870,371,333175,19929,104904,,,33
1871,295,129350,14384,109169,,,129
1872,182,71752,59610,152356,,,72
1873,511,228774,77685,250873,,,229
1874,403,761185,151677,211479,,,761
1875,618,322569,124421,241015,,,323
1876,366,393508,153992,251965,,,394
1877,365,329781,250471,208223,,,330
1878,411,242283,291727,129619,,,237
1879,409,123691,267527,250257,,,123
1880,386,182918,291727,238222,,,180
1881,509,228291,228489,298503,,,228
1882,345,405235,308158,207523,,,404
1883,511,241031,602382,182870,,,241
1884,609,614701,485100,118906,,,615
1885,724,717489,528939,60410,,,717
1886,1289,523380,624039,350482,,,523
1887,1084,677660,832172,619199,,,678
1888,1361,2229294,1064872,500881,,,2228
1889,1952,5044806,1451215,792110,,,5045
1890,2032,3841129,,745106,,,2989
1891,1514,5089361,1684373,590686,,,3841
1892,1479,6166182,2179361,414455,,,5089
1893,1403,7361343,2231943,617583,,,6166
1894,1940,11202661,3357594,645377,,,7361
1895,1967,5017899,2668523,1082742,,,11203
1896,2404,7393456,2142018,858950,,,5018
1897,3059,3151161,3282572,835294,,,7393
1898,2805,2980373,2435770,747243,,,3151
1899,5227,9860969,5523654,1116422,,,2980
1900,2660,4705606,3030276,791905,,,9861
1901,2822,13161051,2610354,642994,,,4706
1902,3702,13294614,4082197,1530472,,,13161
1903,4673,24811595,4182258,2704268,,,13295
1904,9862,24811595,6707373,945685,,,24812
1905,8639,12029326,8481518,1344286,,,12029
1906,6373,11830738,7252869,1089872,,,11631
1907,6293,17117373,6396769,1300072,,,16960
1908,7572,10515537,6396893,1244295,,,10345
1909,9846,14612799,10385734,2022461,,,14452
1910,8023,28351813,9428076,1909915,,,28141
1911,9183,21607938,10884213,1920825,,,21404
1912,4410,17251629,10117013,2459529,,,17021
1913,6984,16586631,9794500,2328098,,,16236
1914,4073,12628870,9253780,2078721,,,12715
1915,1477,14041280,13456500,2583103,,,13700
1916,1043,17627080,13513768,2602140,,,17091
1917,922,20696104,13706099,1857501,,,20036
1918,1245,38106962,13118455,2620424,,,37887
1919,1376,30789728,15754671,2660861,,,30253
1920,1134,9582634,6743105,1194670,,,9225
1921,1735,17256953,14891420,2718561,,,16483
1922,1189,23752171,17890231,2176568,,,22861
1923,684,33927213,15340324,1744721,,,32606
1924,720,42284380,21041127,2250745,,,40420
1925,401,31809030,22796715,2284906,,,29844
1926,242,30881660,13897656,1893472,,,29399
1927,70,49208486,21933579,1822234,,,47307
1928,55,35014857,25871290,1850921,,,34159